BUYER_STATE,BUYER_COUNTY,CountyFIPS_x,StateFIPS_x,Year,MME,FIP_unique,County,State,Population,county_test,state_abbrev,CountyFIPS_y,StateFIPS_y,CountyName,_merge
CO,clear creek,8019,8,2009.0,2732.5143,80198,Clear Creek County,CO,8994.0,Clear Creek,CO,8019.0,8.0,Clear Creek,both
CO,clear creek,8019,8,2010.0,3596.029575,80198,Clear Creek County,CO,9083.0,Clear Creek,CO,8019.0,8.0,Clear Creek,both
CO,clear creek,8019,8,2011.0,3535.0311525,80198,Clear Creek County,CO,9011.0,Clear Creek,CO,8019.0,8.0,Clear Creek,both
CO,clear creek,8019,8,2012.0,1978.8057265875,80198,Clear Creek County,CO,9018.0,Clear Creek,CO,8019.0,8.0,Clear Creek,both
CO,clear creek,8019,8,2013.0,1809.3304163625,80198,Clear Creek County,CO,9024.0,Clear Creek,CO,8019.0,8.0,Clear Creek,both
CO,clear creek,8019,8,2014.0,1665.8740125,80198,Clear Creek County,CO,9124.0,Clear Creek,CO,8019.0,8.0,Clear Creek,both
CO,conejos,8021,8,2006.0,1989.0756585000001,80218,Conejos County,CO,8256.0,Conejos,CO,8021.0,8.0,Conejos,both
CO,conejos,8021,8,2007.0,2044.61349,80218,Conejos County,CO,8217.0,Conejos,CO,8021.0,8.0,Conejos,both
CO,conejos,8021,8,2008.0,1992.6692625,80218,Conejos County,CO,8200.0,Conejos,CO,8021.0,8.0,Conejos,both
CO,conejos,8021,8,2009.0,1922.740875,80218,Conejos County,CO,8140.0,Conejos,CO,8021.0,8.0,Conejos,both
CO,conejos,8021,8,2010.0,2242.8751125,80218,Conejos County,CO,8312.0,Conejos,CO,8021.0,8.0,Conejos,both
CO,conejos,8021,8,2011.0,2799.783825,80218,Conejos County,CO,8290.0,Conejos,CO,8021.0,8.0,Conejos,both
CO,conejos,8021,8,2012.0,3784.381545,80218,Conejos County,CO,8248.0,Conejos,CO,8021.0,8.0,Conejos,both
CO,conejos,8021,8,2013.0,3826.5748538625,80218,Conejos County,CO,8199.0,Conejos,CO,8021.0,8.0,Conejos,both
CO,conejos,8021,8,2014.0,2362.5871125,80218,Conejos County,CO,8230.0,Conejos,CO,8021.0,8.0,Conejos,both
CO,crowley,8025,8,2006.0,1468.5590625,80258,Crowley County,CO,5886.0,Crowley,CO,8025.0,8.0,Crowley,both
CO,crowley,8025,8,2007.0,1617.6435375,80258,Crowley County,CO,6015.0,Crowley,CO,8025.0,8.0,Crowley,both
CO,crowley,8025,8,2008.0,1386.7280250000001,80258,Crowley County,CO,5947.0,Crowley,CO,8025.0,8.0,Crowley,both
CO,crowley,8025,8,2009.0,1451.3592788625,80258,Crowley County,CO,5797.0,Crowley,CO,8025.0,8.0,Crowley,both
CO,crowley,8025,8,2010.0,1745.2791490875,80258,Crowley County,CO,5861.0,Crowley,CO,8025.0,8.0,Crowley,both
CO,crowley,8025,8,2011.0,1527.0219375,80258,Crowley County,CO,5882.0,Crowley,CO,8025.0,8.0,Crowley,both
CO,crowley,8025,8,2012.0,1712.1816788625001,80258,Crowley County,CO,5467.0,Crowley,CO,8025.0,8.0,Crowley,both
CO,crowley,8025,8,2013.0,1711.0316288625,80258,Crowley County,CO,5346.0,Crowley,CO,8025.0,8.0,Crowley,both
CO,crowley,8025,8,2014.0,1519.70235,80258,Crowley County,CO,5609.0,Crowley,CO,8025.0,8.0,Crowley,both
CO,custer,8027,8,2006.0,2.7243,80278,Custer County,CO,3994.0,Custer,CO,8027.0,8.0,Custer,both
CO,custer,8027,8,2007.0,3.027,80278,Custer County,CO,4112.0,Custer,CO,8027.0,8.0,Custer,both
CO,custer,8027,8,2009.0,0.6054,80278,Custer County,CO,4190.0,Custer,CO,8027.0,8.0,Custer,both
CO,custer,8027,8,2010.0,1.5135,80278,Custer County,CO,4279.0,Custer,CO,8027.0,8.0,Custer,both
CO,custer,8027,8,2011.0,3.027,80278,Custer County,CO,4225.0,Custer,CO,8027.0,8.0,Custer,both
CO,custer,8027,8,2012.0,3.3297000000000003,80278,Custer County,CO,4219.0,Custer,CO,8027.0,8.0,Custer,both
CO,custer,8027,8,2013.0,5.7513000000000005,80278,Custer County,CO,4261.0,Custer,CO,8027.0,8.0,Custer,both
CO,custer,8027,8,2014.0,4.0179,80278,Custer County,CO,4340.0,Custer,CO,8027.0,8.0,Custer,both
CO,delta,8029,8,2006.0,9609.6968843625,80298,Delta County,CO,29789.0,Delta,CO,8029.0,8.0,Delta,both
CO,delta,8029,8,2007.0,11952.752161725,80298,Delta County,CO,30121.0,Delta,CO,8029.0,8.0,Delta,both
CO,delta,8029,8,2008.0,14316.6061115625,80298,Delta County,CO,30712.0,Delta,CO,8029.0,8.0,Delta,both
CO,delta,8029,8,2009.0,13743.9083538375,80298,Delta County,CO,31156.0,Delta,CO,8029.0,8.0,Delta,both
CO,delta,8029,8,2010.0,12785.1376417875,80298,Delta County,CO,30860.0,Delta,CO,8029.0,8.0,Delta,both
CO,delta,8029,8,2011.0,12851.927562,80298,Delta County,CO,30393.0,Delta,CO,8029.0,8.0,Delta,both
CO,delta,8029,8,2012.0,13181.766728062501,80298,Delta County,CO,30465.0,Delta,CO,8029.0,8.0,Delta,both
CO,delta,8029,8,2013.0,11709.473863575,80298,Delta County,CO,30338.0,Delta,CO,8029.0,8.0,Delta,both
CO,delta,8029,8,2014.0,12065.3531706375,80298,Delta County,CO,29963.0,Delta,CO,8029.0,8.0,Delta,both
CO,denver,8031,8,2006.0,66211.9126907,80318,Denver County,CO,556895.0,Denver,CO,8031.0,8.0,Denver,both
CO,denver,8031,8,2007.0,81013.318686025,80318,Denver County,CO,564395.0,Denver,CO,8031.0,8.0,Denver,both
CO,denver,8031,8,2008.0,92224.9282324875,80318,Denver County,CO,575721.0,Denver,CO,8031.0,8.0,Denver,both
CO,denver,8031,8,2009.0,107623.70779725,80318,Denver County,CO,589011.0,Denver,CO,8031.0,8.0,Denver,both
CO,denver,8031,8,2010.0,124435.4212506375,80318,Denver County,CO,603359.0,Denver,CO,8031.0,8.0,Denver,both
CO,denver,8031,8,2011.0,143145.7482329625,80318,Denver County,CO,620530.0,Denver,CO,8031.0,8.0,Denver,both
CO,denver,8031,8,2012.0,147776.32973441252,80318,Denver County,CO,635163.0,Denver,CO,8031.0,8.0,Denver,both
CO,denver,8031,8,2013.0,130239.207044475,80318,Denver County,CO,649391.0,Denver,CO,8031.0,8.0,Denver,both
CO,denver,8031,8,2014.0,122185.8133863,80318,Denver County,CO,664582.0,Denver,CO,8031.0,8.0,Denver,both
CO,douglas,8035,8,2006.0,40508.0467413,80358,Douglas County,CO,256136.0,Douglas,CO,8035.0,8.0,Douglas,both
CO,douglas,8035,8,2007.0,47781.1016017625,80358,Douglas County,CO,267177.0,Douglas,CO,8035.0,8.0,Douglas,both
CO,douglas,8035,8,2008.0,52718.079335125,80358,Douglas County,CO,275500.0,Douglas,CO,8035.0,8.0,Douglas,both
CO,douglas,8035,8,2009.0,58941.5256718125,80358,Douglas County,CO,281386.0,Douglas,CO,8035.0,8.0,Douglas,both
